,Unnamed: 0,chapter,lemma,grammar,word_th_trans_en,freq,loan,hg_context
56,4967,К,крьвясти,"V, tr",поджигатель,1,FALSE,TRUE
57,4970,К,крьвясни,"N, anim, hum",поджигатель,4,FALSE,TRUE
58,5047,К,куку,"N, anim",кукушка,8,FALSE,TRUE
59,5155,К,куду,N,домой,287,FALSE,TRUE
60,5171,К,Карнеги,"N, PN, famn",Карнеги,1,TRUE,TRUE
61,5213,К,кару,"N, anim",муха,21,FALSE,TRUE
62,5297,К,качаму,N,дымный,9,FALSE,TRUE
63,5461,К,калу,"N, anim",рыба,1,FALSE,TRUE
64,5544,К,каворксу,N,"неровный, ухабистый",2,FALSE,TRUE
65,5555,К,калафты,"V, intr","износить, порвать | разрушительный | разрушиться, развалиться",2,FALSE,TRUE
66,5592,К,канни,"N, anim, hum",носильщик,19,FALSE,TRUE
67,5607,К,канды,N,позёмка,44,FALSE,TRUE
68,5717,К,Ключи,"N, PN, topn",Ключи,2,TRUE,FALSE
69,5776,К,Кирси,"N, PN, persn",Кирси,1,TRUE,TRUE
70,5872,К,коленди,"V, intr",испортиться,1,FALSE,TRUE
71,6036,К,кеву,N,камень,3,FALSE,TRUE
72,6050,К,келу,N,берёза,127,FALSE,TRUE
73,6117,К,кири,"V, intr",сократиться,57,FALSE,TRUE
74,6158,К,керы,"V, tr",резать,4,FALSE,TRUE
75,6185,К,киви,N,свинец; грузило | тесьма из цветных шерстяных ниток с люрексом,4,FALSE,TRUE
76,6220,Л,локсти,"N, anim",лебедь,7,FALSE,TRUE
77,6235,Л,лову,N,снежный,1,FALSE,TRUE
78,6353,Л,ляды,"V, tr",вспомниться | косить | остальной | остаться,1,FALSE,TRUE
79,6354,Л,ляди,"N, supernat","чёрт, бес",5,FALSE,TRUE
80,6445,Л,луви,"N, anim, hum",читатель,420,FALSE,TRUE
81,6472,Л,Люберцы,"N, PN, topn",Люберцы,19,TRUE,TRUE
82,6545,Л,ласьки,"N, anim, hum","бегун, бегущий",10,FALSE,TRUE
83,6555,Л,лафту,"N, body",плечо,82,FALSE,TRUE
84,6637,Л,лаймоньзи,"N, anim",клещ,8,FALSE,TRUE
85,6668,Л,лаборды,"V, intr",болтливый,1,FALSE,TRUE
86,6769,Л,лезды,"V, intr",помощник,476,FALSE,TRUE
87,6784,Л,Лахти,"N, PN, topn",Лахти,2,TRUE,TRUE
88,6849,М,мишенди,"N, anim, hum","торговец, продавец",100,FALSE,TRUE
89,6893,М,михалу,"N, PN",Михайлов день,3,FALSE,TRUE
90,7154,М,мярьгондеви,"V, tr",сказать,78,FALSE,TRUE
91,7215,М,моргу,N,сучковатый,4,FALSE,TRUE
92,7261,М,Моску,"N, PN, topn",Москва,1139,FALSE,TRUE
93,7301,М,морси,"V, tr",селезёнка,63,FALSE,TRUE
94,7375,М,манси,"N, anim, hum",манси,3,TRUE,TRUE
95,7428,М,марлю,N,яблоня,45,FALSE,TRUE
96,7486,М,Мавроди,"N, PN, famn",Мавроди,1,TRUE,TRUE
97,7536,М,малады,"V, intr",приблизиться,12,FALSE,TRUE
98,7693,М,меню,N,меню,8,TRUE,FALSE
99,7816,М,маци,"N, anim",гусь,74,FALSE,TRUE
100,7841,М,машты,"V, tr","кончиться | умелый, талантливый | уметь, мочь",170,FALSE,TRUE
101,8005,Н,нюди,N,тростник; свирель,22,FALSE,TRUE
102,8124,Н,налхки,"N, anim, hum",играть,27,FALSE,TRUE
103,8206,Н,нельги,"N, anim, hum",захватчик,3,FALSE,TRUE
104,8208,Н,Нелли,"N, PN, persn",Нелли,2,TRUE,TRUE
105,8236,Н,Нидерланды,"N, PN, topn",Нидерланды,3,TRUE,TRUE
106,8402,О,оригами,N,оригами,1,TRUE,TRUE
107,8465,О,очижи,N,Пасха,148,FALSE,TRUE
108,8735,О,ожу,V,"подожди, погоди",25,FALSE,FALSE
109,8738,О,ожаки,N,вышивка вдоль рукава рубахи; женская рубаха,3,FALSE,TRUE
110,8782,О,озксвяти,"N, anim, hum",священник,181,FALSE,TRUE
111,8789,О,Озёрки,"N, PN, topn",Озёрки,2,TRUE,TRUE
112,8790,О,озонды,"V, intr",молиться,19,FALSE,TRUE
113,8856,П,потяфты,"N, anim, hum",кормящая мать,4,FALSE,TRUE
114,8880,П,пою,N,осина,50,FALSE,TRUE
115,9089,П,полафты,"N, anim, hum",заместитель,7,FALSE,TRUE
116,9207,П,пони,"N, anim",пони,5,TRUE,TRUE
117,9263,П,пурхцу,"N, anim",супоросая; в цыпках,2,FALSE,TRUE
118,9295,П,путы,N,"тот, кто расставляет, кладёт, сажает",24,FALSE,TRUE
119,9407,П,пятру,"N, PN",Петров день,9,FALSE,TRUE
120,9424,П,пчкафты,"V, intr",выздороветь | лекарь | лечить,24,FALSE,TRUE
121,9470,П,пшкяди,"V, tr",сказать; предложить,4,FALSE,TRUE
122,9708,П,педли,"N, anim",пиявка,2,FALSE,TRUE
123,9717,П,педенди,"V, intr",прилипнуть,3,FALSE,TRUE
124,9728,П,педи,"V, intr",прилипнуть,12,FALSE,TRUE
125,9730,П,пеедьфти,"V, intr",шутливый,1,FALSE,TRUE
126,9781,П,парьхци,N,"парча, шёлк",6,FALSE,TRUE
127,9899,П,пенальти,N,пенальти,7,TRUE,TRUE
128,10031,П,полафневи,"V, tr","заменить | изменчивый, изменяемый | удлинить, надставить",5,FALSE,TRUE
129,10036,П,павазу,N,счастье,77,FALSE,TRUE
130,10157,П,панксу,N,заплатка,1,FALSE,TRUE
131,10168,П,панчфу,N,цветок,4,FALSE,TRUE
132,10187,П,пели,"V, intr",бояться,63,FALSE,TRUE
133,10190,П,Победы,"N, PN",Победы,14,TRUE,TRUE
134,10271,П,пичефти,"V, tr","печальный, грустный, тревожный",19,FALSE,TRUE
135,10275,П,пичефксу,N,"печальный, грустный",2,FALSE,TRUE
136,10360,П,покру,"N, PN",Покров,1,FALSE,TRUE
137,10434,П,пиди-пани,"N, anim, hum","стряпуха, повариха",22,FALSE,TRUE
138,10439,П,пиди,"V, tr","жгучий, палящий",11,FALSE,TRUE
139,10471,П,пизему,N,дождь,6,FALSE,TRUE
140,10497,П,петру,"N, PN",Петруш,1,FALSE,TRUE
141,10590,П,пичеди,"V, tr","печальный, грустный, тревожный",64,FALSE,TRUE
142,10650,П,пиндолды,"V, intr",налобное украшение из стекляруса,24,FALSE,TRUE
143,10663,П,пильгоки,N,след,34,FALSE,TRUE
144,10737,Р,ризфу,N,"тоска, печаль",6,FALSE,TRUE
145,10868,Р,Ростов-на-Дону,"N, PN, topn",Ростов-на-Дону,4,TRUE,FALSE
146,10973,Р,рамси,"N, anim, hum",покупатель,35,FALSE,TRUE
147,11136,Р,рахсефти,"N, anim, hum",комик,2,FALSE,TRUE
148,11137,Р,рахси,"N, anim, hum",насмешник,9,FALSE,TRUE
149,11146,Р,рдазу,N,грязь,10,FALSE,TRUE
150,11169,Р,рахафты,"V, intr",уморительный,7,FALSE,TRUE
151,11203,Р,регби,N,регби,5,TRUE,TRUE
152,11304,С,стихи,N,стихи,2,TRUE,FALSE
153,11463,С,сокай-види,"N, anim, hum",крестьянин,7,FALSE,TRUE
154,11554,С,Сочи,"N, PN, topn",Сочи,64,TRUE,TRUE
155,11711,С,сяськи,"N, anim, hum",победитель,45,FALSE,TRUE
156,11719,С,сёрмады,"N, anim, hum",писатель,40,FALSE,TRUE
157,11747,С,сяли,N,вяз,3,FALSE,TRUE
158,11776,С,сяряди,"V, intr",больной,122,FALSE,TRUE
159,11955,С,сузу,N,"шероховатый, не гладкий",1,FALSE,TRUE
160,11981,С,Суоми,"N, PN, topn",Суоми,4,TRUE,TRUE
161,11984,С,соку,N,сочный,1,FALSE,TRUE
162,11989,С,седи,N,доска | мост | сердце | уголь,234,FALSE,TRUE
163,12071,С,Свободы,"N, PN",Свободы,2,TRUE,TRUE
164,12140,С,сенди,N,камыш,1,FALSE,TRUE
165,12251,С,салу,N,солёный,16,FALSE,TRUE
166,12272,С,Саарикиви,"N, PN, famn",Саарикиви,1,TRUE,TRUE
167,12284,С,сакалу,"N, body",бородатый,1,FALSE,TRUE
168,12341,С,саты,"V, tr",догнать,59,FALSE,TRUE
169,12501,С,Славы,"N, PN",Славы,2,TRUE,TRUE
170,12523,С,соду,N,"сажа, копоть",1,FALSE,TRUE
171,12624,С,сиводи,"N, anim, hum",наниматель,2,FALSE,TRUE
172,12677,С,сери,"V, tr",кричать,58,FALSE,TRUE
173,12794,С,сими,"N, anim, hum",пить,20,FALSE,TRUE
174,13104,Т,тяшти,"V, tr",писать,27,FALSE,TRUE
175,13161,Т,Турку,"N, PN, topn",Турку,1,TRUE,TRUE
176,13173,Т,туткоды,"V, intr",брезговать,1,FALSE,TRUE
177,13230,Т,тюри,"N, anim, hum",драчун,10,FALSE,TRUE
178,13266,Т,таяскофты,"V, intr",ошеломительный,1,FALSE,TRUE
179,13269,Т,Тбилиси,"N, PN, topn",Тбилиси,2,TRUE,TRUE
180,13303,Т,Тарту,"N, PN, topn",Тарту,8,TRUE,TRUE
181,13323,Т,телешоу,N,телешоу,1,TRUE,TRUE
182,13396,Т,такси,"N, transport",такси,13,TRUE,FALSE
183,13458,Т,тараду,N,"ветка, сук",1,FALSE,TRUE
184,13514,Т,толу,N,"свет, огонь",14,FALSE,TRUE
185,13548,Т,тоду,N,подушка,37,FALSE,TRUE
186,13566,Т,Тольятти,"N, PN, topn",Тольятти,145,TRUE,TRUE
187,13569,Т,тонафты,"V, intr",выучить; привыкнуть | учитель | учить,88,FALSE,TRUE
188,13570,Т,тонафни,"N, anim, hum",ученик,755,FALSE,TRUE
189,13588,Т,топафты,"V, intr","насытить | сытный | топать, ходить",1,FALSE,TRUE
190,13653,Т,тии,"V, tr",создатель,161,FALSE,TRUE
191,13743,Т,тити-мити,N,деньги,1,FALSE,TRUE
192,13744,Т,тити,"N, anim, hum",проходимец,2,FALSE,TRUE
193,13755,У,ускси,"N, anim, hum",возчик,18,FALSE,TRUE
194,13826,У,уру,N,чирей,3,FALSE,TRUE
195,13854,У,ушты,"V, tr",топить,2,FALSE,TRUE
196,13862,У,ушеды,"N, anim, hum",зачинатель,17,FALSE,TRUE
197,13863,У,ушеткшни,"V, tr",начать; наступить,72,FALSE,TRUE
198,13878,У,уфси,"N, anim, hum","то же, что урмань потафты",3,FALSE,TRUE
199,13916,У,уенди,"N, body",пловец,3,FALSE,TRUE
200,13925,У,уды,"N, anim, hum",спящий,5,FALSE,TRUE
201,13946,У,ужяльди,"N, anim, hum",благодетель,11,FALSE,TRUE
202,14127,У,ули,"V, intr","достаток, богатство",2626,FALSE,TRUE
203,14213,Ф,фэнтези,N,фэнтези,2,TRUE,TRUE
204,14483,Х,Хельсинки,"N, PN, topn",Хельсинки,14,TRUE,TRUE
205,14489,Х,Химки,"N, PN, topn",Химки,6,TRUE,TRUE
206,14514,Х,ханты,"N, anim, hum",ханты,33,TRUE,TRUE
207,14555,Х,хобби,N,хобби,1,TRUE,TRUE
208,14591,Ц,цяторды,"V, intr",трещать,1,FALSE,TRUE
209,14705,Ц,циледи,"N, anim",сверчок,2,FALSE,TRUE
210,14774,Ч,Чебоксары,"N, PN, topn",Чебоксары,22,TRUE,TRUE
211,14778,Ч,Челны,"N, PN, topn",Челны,2,TRUE,FALSE
212,14842,Ч,Чили,"N, PN, topn",Чили,2,TRUE,TRUE
213,14893,Ш,шоу,N,шоу,14,TRUE,TRUE
214,14963,Ш,шову,N,пенистый; мыльный,7,FALSE,TRUE
215,14973,Ш,шокши,"V, tr","тот, кто истощает, терзает, мучает",4,FALSE,TRUE
216,14980,Ш,Шойгу,"N, PN, famn",Шойгу,2,TRUE,FALSE
217,15029,Ш,шятни,"N, anim, hum",колдун,1,FALSE,TRUE
218,15063,Ш,шуди,"V, intr",сочиться,44,FALSE,TRUE
219,15078,Ш,шукштору,N,смородина,3,FALSE,TRUE
220,15115,Ш,шаржу,N,шарж,9,FALSE,TRUE
221,15117,Ш,шаракофты,"V, intr",сойти с ума,4,FALSE,TRUE
222,15129,Ш,шапи,"N, anim, hum",плотник,2,FALSE,TRUE
223,15155,Ш,шарьхкоди,"V, tr",понять,56,FALSE,TRUE
224,15163,Ш,шары,N,колесо,10,FALSE,TRUE
225,15190,Ш,шави,"N, anim, hum",убийца; труженик,21,FALSE,TRUE
226,15255,Ш,шахматы,N,шахматы,1,TRUE,TRUE
227,15300,Ш,шири,N,к,287,FALSE,TRUE
228,15362,Ш,шачфты,"V, intr",роженица,23,FALSE,TRUE
229,15365,Ш,шашки,N,шашки,1,TRUE,TRUE
230,15460,Э,эрявксты,"V, intr",угодный; годный,79,FALSE,TRUE
231,15856,Ю,ювади,"V, tr","тот, кто кричит",3,FALSE,TRUE
232,15872,Я,ярмаку,N,деньги,2,FALSE,TRUE
233,15900,Я,ярашты,"V, intr","полезный, годный",5,FALSE,TRUE
234,15933,Я,явафты,"V, intr",истопить | источник | топиться,1,FALSE,TRUE
